,Sum_2017,Percentage_2017,Sum_2016,Percentage_2016,Sum_2015,Percentage_2015,Sum_2014,Percentage_2014
violence,566,5.333082069160463,501,5.015015015015015,337,5.7244776626465095,181,5.688246385920805
other,166,1.5641194761141997,103,1.031031031031031,88,1.4948190929165959,65,2.042740414833438
family,254,2.393291246584378,232,2.3223223223223224,301,5.112960760998811,88,2.765556253928347
