,Sum_2017,Percentage_2017,Sum_2016,Percentage_2016,Sum_2015,Percentage_2015,Sum_2014,Percentage_2014
violence,18,2.723146747352496,27,4.462809917355372,17,2.946273830155979,15,2.9940119760479043
other,41,6.202723146747353,42,6.9421487603305785,35,6.065857885615252,30,5.9880239520958085
family,17,2.5718608169440245,11,1.8181818181818181,14,2.4263431542461005,16,3.1936127744510974
