Title,Genres,Release Date,Release Country,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Language,Filming Locations,Budget,Cast Member,Cast Member Frequency,Director,Title Word,Title Word Frequency,Description Word,Description Word Frequency,Genres Word,Genres Frequency,Headline Word,Headline Frequency,Headline Percent 
Midnight Man, Horror,30-Sep-16,Canada,,5.8,95 min,"Directed by Travis Zariwny. With Logan Creran, Robert Englund, Grayson Gabriel, Emily Haine. A girl and her friends find a game in the attic that summons a creature known as The Midnight Man, who uses their worst fears against them.","Logan Creran, Robert Englund, Grayson Gabriel, Emily Haine, Gabrielle Haugh, Summer H. Howell, Callie Lane, Keenan Lehmann, Louise Linton, Abigail Pniowsky, Meredith Rose, Lin Shaye, Michael Sirow, Kyle Strauts, Luca Villacis",English,,,Marcus Ganci-Rotella,2.0,Travis Zariwny,fiancé,1.0,homes,8.0,,,Bumble,2,0.001003593
Gnome Alone, Horror,20-Jan-15,USA,R,3.4,94 min,"Directed by Timothy Woodward Jr., John Michael Elfers. With Verne Troyer, Kerry Knuppe, Bill Oberst Jr., Marlon Young. When Zoe inherits the magical protection of a bewitched Gnome, she quickly realizes that he isn't your garden variety gnome, when he begins eliminating her enemies in extravagant displays of revenge.","Verne Troyer, Kerry Knuppe, Bill Oberst Jr., Marlon Young, Ross Bagley, Travis Eberhard, Josh Berger, Matt Cinquanta, Willow Hale, Kodi Saint Angelo, Rachel Applehans, Erik Aude, David Baptiste, Angela Denton, Massimo Dobrovic",English,,,Steve McKee,2.0,Timothy Woodward Jr,gayung,1.0,restaurant,8.0,,,Bumped,2,0.001003593
American Exorcism, Horror,2-May-17,USA,,2.8,92 min,"Directed by Tripp Weathers. With Michael Filipowich, Kate Tumanova, William McKinney, Jessica Morris. Damon Richter thought he left the world of possessions, exorcisms, and evil behind until an old friend arrives with frightening information about his estranged daughter knowing that only his otherworldly skills can save her.","Michael Filipowich, Kate Tumanova, William McKinney, Jessica Morris, Jennifer Lee Wiggins, Braxton Davis, Sicily Fontaine, Arun Kapoor, Jhana Parits, John Paul Sales, Brad Stocker, Luke Wright",English,"Santa Clarita, California, USA",,Saravanan,2.0,Tripp Weathers,greasy,1.0,shepis,8.0,,,Bungles,2,0.001003593
Hansel vs. Gretel, Horror,31-Mar-16,Germany,UNRATED,2.9,86 min,"Directed by Ben Demaree. With Brent Lydic, Lili Baross, Aqueela Zoll, Jhey Castles. When Gretel falls under a dark spell and organizes a coven of witches, Hansel must find the courage to fight his twin sister and the sinister forces controlling her.","Brent Lydic, Lili Baross, Aqueela Zoll, Jhey Castles, Riley Murphy, Adinett Nsabimana, Nanrisa Lee, Barbara Scolaro, Elisha Kriis, Carol Stanzione, Christopher Callen, Fawn Stone, Kevin Yarbrough, Maria Olsen, Jennifer Elizabeth",English,"Los Angeles, California, USA",,Ted Levine,2.0,Ben Demaree,innfyr,1.0,cousin,8.0,,,Burial,2,0.001003593
Outpost Black Sun," Action,  Horror,  Sci-Fi",2012,UK,NOT RATED,5.0,101 min,"Directed by Steve Barker. With Catherine Steadman, Richard Coyle, Ali Craig, Nick Nevern. The year is 1945, the closing stages of WW2, and a German scientist by the name of Klausener is working on a frightening new technology that has the power to create an immortal Nazi army. Flash forward to present day, and a NATO task force is hurriedly deployed to Eastern Europe, where a sinister enemy appears to be mercilessly killing everything in its path. But this is no ordinary foe. Only ...","Catherine Steadman, Richard Coyle, Ali Craig, Nick Nevern, Daniel Caltagirone, Gary McDonald, Johnny Meres, Julian Wadham, Michael Byrne, Domenic Pontone, Clive Russell, John P. Arnold, Philip Barratt, Martin Bell, Paul Birchard",English,"Dumfries & Galloway, Scotland, UK",3000000.0,Roddy Piper,2.0,Steve Barker,hush,3.0,throughout,7.0,,,Businessman,2,0.001003593
Gingerdead Man Vs Evil Bong," Comedy,  Horror",29-Oct-13,USA,NOT RATED,4.2,80 min,"Directed by Charles Band. With John Patrick Jordan, Robin Sydney, Sonny Carl Davis, Peter Donald Badalamenti II. The Gingerdead Man seeks revenge against Sarah Leigh for causing him to live his life in the body of a gingerbread man. Her only hope is to team up with Larnell who has problems of his own in the form of a magical talking bong named Eebee.","John Patrick Jordan, Robin Sydney, Sonny Carl Davis, Peter Donald Badalamenti II, Amy Paffrath, Chance A. Rearden, Ryan Curry, Victoria Levine, Timothy A. Bennett, Tian Wang, Jinhee Joung, Joss Glennie-Smith, Orson Chaplin, Megan Phillipy, Masuimi Max",English,"Los Angeles, California, USA",,Seung-ryong Ryu,2.0,Charles Band,shock,3.0,justice,7.0,,,Busters,2,0.001003593
Habit, Horror,2017,UK,,7.1,90 min,"Directed by Simeon Halligan. With Jessica Barden, Roxanne Pallett, William Ash, Louis Emerick. Set within the neon drenched rain swept underbelly of Manchester, where the addicted prey on the lost and the lonely.","Jessica Barden, Roxanne Pallett, William Ash, Louis Emerick, Sally Carman, Joanne Mitchell, Elliot James Langridge, Andrew Ellis, Robert Beck, Natalie Ferrigno, Sally Bankes, Emmanuel Ighodaro, Mark Sheals, Garth Maunders, Tom Wells",English,"Manchester, Greater Manchester, England, UK",1000000.0,Suzie Haines,2.0,Simeon Halligan,wild,3.0,annie,7.0,,,Busy,2,0.001003593
Ladies House," Horror,  Thriller",1-May-15,USA,TV-MA,5.4,93 min,"Directed by John Stuart Wildman. With Farah White, Melodie Sisk, Brina Palencia, Belladonna. A birthday outing with two brothers and a friend turns into a horrific fight for survival after they become trapped in a house with a ""family"" of malevolent women.","Farah White, Melodie Sisk, Brina Palencia, Belladonna, Gabriel Horn, Samrat Chakrabarti, Rj Hanson, Frank Mosley, Christina Emi, Arynetta Floyzelle, Mark Hennessy, John R. Strange, George Wada, Thomas Wiederhold",English,"Dallas, Texas, USA",,Kate Fenton,2.0,John Stuart Wildman,origins,2.0,andre,7.0,,,Buzzes,2,0.001003593
Blackwood," Horror,  Thriller",1-Aug-14,UK,NOT RATED,5.3,90 min,"Directed by Adam Wimpenny. With Ed Stoppard, Sophia Myles, Russell Tovey, Isaac Andrews. The classic English ghost story gets a revision when a college professor finds himself plagued by spectral visions.","Ed Stoppard, Sophia Myles, Russell Tovey, Isaac Andrews, Paul Kaye, Greg Wise, Joanna Vanderham, Kenneth Collard, Anna Andresen, Harry Burton, Alan Drake, Sebastian Dunn, Luke Brandon Field, Melanie Gray, Eileen Nicholas",English,"Wales, UK",,Chris Kotcher,2.0,Adam Wimpenny,pyramid,2.0,bruno,7.0,,,Bygones,2,0.001003593
Wraith," Horror,  Mystery,  Thriller",5-Apr-17,USA,PG-13,6.8,,"Directed by Michael O. Sajbel. With Jackson Hurst, Ali Hillis, Lance Henriksen, Jensen Buchanan. After living in an old mansion for almost 10 years a family suddenly discovers a ghost-like presence trying to communicate with them. A super-natural thriller.","Jackson Hurst, Ali Hillis, Lance Henriksen, Jensen Buchanan, Christopher Chisholm, Catherine Frances, Gina Berceau, Birdi Davis, Karl Greene, Lily Hansen, Owen Hansen, Charles Kagen, Dan Oliver, Mark A. Wallenfang, Gabriella Lillian Zoltowski",English,"Wisconsin, USA",,Iwan Rheon,2.0,Michael O,rec,2.0,matter,7.0,,,BYU,2,0.001003593
